kernel_id,kernel_name,array_size,threads,time_ms,bandwidth_GBs,pct_peak_bw,speedup_vs_baseline,correct
1,"K1: Baseline (interleaved, divergent)",16777216,256,0.3890,172.5298,11.09,1.0000,1
2,"K2: Shared Mem Opt (sequential+unroll)",16777216,256,0.0984,681.7124,43.83,3.9513,1
3,"K3: Warp Shuffle (__shfl_down_sync)",16777216,256,0.0922,728.1777,46.82,4.2206,1
