array_size,kernel_id,time_ms,bandwidth_GBs
65536,1,0.0308,8.4979
65536,2,0.0290,9.0439
65536,3,0.0270,9.7039
262144,1,0.0452,23.2002
262144,2,0.0289,36.3121
262144,3,0.0287,36.4981
1048576,1,0.0628,66.7849
1048576,2,0.0386,108.7193
1048576,3,0.0397,105.7715
4194304,1,0.1242,135.0283
4194304,2,0.0484,346.7972
4194304,3,0.0491,341.6002
16777216,1,0.3891,172.4717
16777216,2,0.0989,678.2509
16777216,3,0.0901,744.5686
67108864,1,1.4363,186.8953
67108864,2,0.2751,975.7825
67108864,3,0.2579,1040.9252
